,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pacific Grove,US,1533603300,36.62,-121.92,86.0,43,1,3.36
1,Lebu,ET,1533605857,8.96,38.73,52.39,96,80,2.82
2,Chokurdakh,RU,1533605857,70.62,147.9,43.35,91,0,9.19
3,Busselton,AU,1533605858,-33.64,115.35,62.16,96,8,15.79
4,Comodoro Rivadavia,AR,1533603600,-45.87,-67.48,48.2,76,20,2.24
5,Corrente,BR,1533605858,-17.45,-44.68,63.78,94,64,4.38
6,Castro,CL,1533605859,-42.48,-73.76,41.01,100,36,5.61
7,Mataura,NZ,1533605859,-46.19,168.86,44.25,82,100,3.94
8,Punta Arenas,CL,1533603600,-53.16,-70.91,33.8,100,90,5.82
9,Tignere,CM,1533605859,7.37,12.65,63.37,98,92,2.26
10,Sao Joao da Barra,BR,1533605860,-21.64,-41.05,68.28,100,100,22.5
11,Sterling,US,1533604500,39.0,-77.4,82.4,83,1,5.84
12,Leningradskiy,RU,1533605860,69.38,178.42,35.07,100,20,9.42
13,Doha,QA,1533603600,25.29,51.53,102.2,24,0,14.99
14,Grand Gaube,MU,1533603600,-20.01,57.66,69.8,56,40,8.05
15,Hermanus,ZA,1533605861,-34.42,19.24,43.35,98,68,8.19
16,Bredasdorp,ZA,1533603600,-34.53,20.04,46.4,81,56,9.17
17,Albany,US,1533603240,42.65,-73.75,84.2,69,20,5.82
18,Benemerito de las Americas,MX,1533605862,16.52,-90.64,76.02,85,56,2.48
19,Sitka,US,1533605862,37.17,-99.65,86.77,35,56,10.2
20,Port Elizabeth,US,1533603360,39.31,-74.98,82.4,78,1,10.98
21,Rio Gallegos,AR,1533603600,-51.62,-69.22,33.8,69,90,2.24
22,Santa Cruz de la Palma,ES,1533603600,28.68,-17.76,75.2,64,0,16.11
23,Alwar,IN,1533605863,27.56,76.61,79.21,91,24,4.38
24,Mahebourg,MU,1533603600,-20.41,57.7,69.8,56,40,8.05
25,Ushuaia,AR,1533603600,-54.81,-68.31,32.0,100,90,11.41
26,Airai,TL,1533605864,-8.93,125.41,83.17,44,0,1.81
27,Tasiilaq,GL,1533603000,65.61,-37.64,41.0,80,68,18.34
28,Cape Town,ZA,1533603600,-33.93,18.42,48.2,66,75,4.7
